IAT,Russell,High Yield Spread
1.98,0.22,0.1
-0.69,2.40,0.04
1.06,2.37,-0.05
0.70,3.40,-0.15
0.50,2.13,-0.09
3.16,1.28,-0.31
-0.64,1.93,-0.17
0.02,-1.72,0.1
-2.46,1.04,0.03
0.22,4.20,-0.11
1.71,3.60,-0.28
-4.08,-1.91,0.52
-8.21,-3.09,1.21
3.12,1.36,0.36
-1.87,3.82,-0.35
-4.55,1.74,0.16
-4.75,-4.26,1.39
-9.48,-0.65,0.17
8.09,-6.00,1.03
-11.22,-3.06,0.72
-2.19,-0.68,0.54
2.89,5.07,-1.35
-5.52,1.83,-0.33
-22.52,-8.31,0.82
11.64,-1.16,0.65
4.06,1.38,0.36
3.47,-9.53,2.6
-9.23,-17.46,5.21
-12.24,-7.56,3.71
-5.97,1.60,-1.76
-32.05,-8.16,-1.86
-9.41,-10.34,1.12
6.31,8.75,-0.35
14.11,10.12,-3.58
3.36,5.53,-1.75
-5.74,0.24,-1.15
9.25,7.63,-1.33
8.92,3.63,-0.1
1.17,4.06,-1.19
-6.01,-2.21,-0.33
7.06,5.89,0.05
-1.28,2.43,-1.26
8.84,-3.60,0.15
0.57,3.30,0.17
7.99,6.14,-0.87
6.95,1.85,-0.23
-9.31,-7.93,1.37
-8.29,-5.57,0.15
4.52,6.95,-0.54
-11.15,-4.47,0.33
6.15,9.19,-0.66
0.65,3.89,-0.33
-1.52,0.33,0.29
15.66,6.68,-0.81
-0.49,2.40,-0.33
1.87,3.48,-0.3
-2.55,0.26,-0.01
-0.41,3.01,-0.01
-1.44,-1.07,0.33
-3.33,-1.75,0.33
-3.49,-2.17,0.16
-12.33,-5.76,1.72
-7.80,-7.46,1.11
12.94,11.21,-1.34
-0.24,-0.26,0.72
3.83,0.84,-0.56
5.06,4.87,-0.62
4.45,4.39,-0.63
6.80,3.13,0.01
0.00,-0.58,0.05
-5.32,-6.15,0.92
2.00,3.83,-0.52
0.29,1.19,-0.28
2.91,2.43,-0.18
3.32,2.57,-0.24
-3.72,-1.69,-0.11
-1.95,0.79,0.02
1.33,1.04,-0.31
5.94,5.42,-0.39
1.08,1.34,0.03
3.71,3.86,-0.12
-1.29,1.81,-0.31
6.39,2.22,0.07
2.70,-1.36,0.59
6.55,5.35,-0.5
-4.57,-2.76,0.05
0.24,3.49,0.07
3.79,4.40,-0.47
4.81,2.81,-0.09
1.91,2.70,-0.27
-2.15,-3.19,0.21
3.46,4.75,-0.4
4.48,0.64,-0.04
-5.66,0.47,-0.06
0.91,2.30,-0.04
4.10,2.27,-0.14
-4.37,-1.62,0.51
1.39,4.13,-0.2
-1.37,-1.75,0.56
2.26,2.44,-0.1
0.80,2.62,0.37
2.31,-0.23,0.37
-8.56,-2.75,0.22
8.39,5.78,-0.8
0.66,-1.25,0.36
0.03,0.71,-0.23
2.52,1.31,-0.01
2.38,-1.88,0.42
1.04,1.93,0.36
-6.81,-6.02,0.34
-2.15,-2.74,0.92
2.85,8.09,-0.72
5.62,0.33,0.5
-4.59,-1.80,0.55
-10.87,-5.38,0.82
-4.17,-0.03,-0.02
6.45,6.97,-0.7
6.91,0.54,-0.84
2.94,1.75,-0.24
-7.26,0.23,0.24
3.58,3.81,-0.52
6.61,0.13,-0.59
-1.81,0.08,-0.13
4.41,-1.95,-0.06
17.21,3.94,-0.24
5.44,1.88,-0.45
0.66,2.01,-0.22
4.01,3.87,-0.26
-5.70,0.06,0.18
-0.83,1.06,-0.11
-2.57,1.28,-0.07
5.22,0.70,0.03
0.48,1.98,-0.16
-3.98,0.31,0.24
7.42,2.13,-0.29
1.30,2.29,-0.05
3.25,3.05,0.1
-0.18,1.11,0.02
7.63,5.49,-0.34
-1.53,-3.67,0.18
-3.58,-2.27,0.25
0.75,0.34,-0.26
0.18,2.55,0.17
-3.30,0.65,0.08
3.38,3.45,-0.25
2.26,3.45,0.03
-5.70,0.38,-0.21
-6.06,-7.08,0.53
3.54,2.04,0.48
-16.43,-9.11,1.04
12.65,8.38,-0.96
5.68,3.39,-0.45
-8.39,1.74,0.13
9.62,4.04,-0.32
-8.94,-6.37,0.86
5.83,7.02,-0.52
4.62,1.55,-0.14
-8.85,-1.83,0.2
6.37,1.73,-0.11
2.06,2.12,0.13
4.61,3.78,-0.13
2.53,2.89,-0.42
-7.18,0.11,0.43
-12.68,-8.17,1.03
-30.02,-13.21,3.71
16.60,13.21,-1.14
0.80,5.28,-1.09
-0.47,2.21,-0.1
-0.33,5.86,-1.28
2.28,7.34,-0.14
-5.05,-3.65,0.39
11.58,-2.41,-0.09
15.25,11.78,-0.99
7.70,4.23,-0.47
1.52,-0.82,-0.02
18.25,2.90,-0.27
4.12,3.78,-0.21
5.19,5.38,-0.08
3.69,0.47,0.06
-6.92,2.51,-0.3
-3.11,2.08,0.28
4.90,2.89,-0.11
3.57,-4.59,-0.06
5.50,6.94,0
-4.12,-1.34,0.52
0.82,4.05,-0.57
1.64,-5.64,0.53
2.07,-2.74,0.14
